department_name,rank,product_name,product_link,product_image_link,product_reviews_link,product_ratings,product_ratings_count,product_price
Amazon Launchpad,14.,Tile Mate & Slim Combo Pack Key/Wall...,https://www.amazon.com/Tile-Combo-Wallet-Finder-4-pack/dp/B01MF9VQOP/ref=zg_bs_boost_14,https://images-na.ssl-images-amazon.com/images/I/31j7B8xIP1L._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01MF9VQOP/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.3 out of 5 stars,81,$69.99
Amazon Launchpad,15.,iOttie Easy One Touch Mini Air Vent C...,https://www.amazon.com/iOttie-Holder-Cradle-iPhone-Smartphones/dp/B017HME9DC/ref=zg_bs_boost_15,https://images-na.ssl-images-amazon.com/images/I/41TrnKNf4DL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B017HME9DC/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.3 out of 5 stars,662,$19.95
Amazon Launchpad,16.,nonda USB-C to USB 3.0 Mini Adapter [...,https://www.amazon.com/nonda-Adapter-Smallest-Aluminum-Indicator/dp/B015Z7XE0A/ref=zg_bs_boost_16,https://images-na.ssl-images-amazon.com/images/I/41aUlYaj91L._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B015Z7XE0A/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.2 out of 5 stars,673,$10.99
Amazon Launchpad,17.,Rocketbook Wave Smart Notebook,https://www.amazon.com/Rocketbook-WAV-S-Wave-Smart-Notebook/dp/B01GU6TINM/ref=zg_bs_boost_17,https://images-na.ssl-images-amazon.com/images/I/41yJlMdy9OL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01GU6TINM/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,3.9 out of 5 stars,306,$27.00
Amazon Launchpad,18.,Tile Slim - Phone Finder. Wallet Find...,https://www.amazon.com/Tile-Slim-Finder-Wallet-Finder/dp/B01J6FPS42/ref=zg_bs_boost_18,https://images-na.ssl-images-amazon.com/images/I/41wLzB0%2BUAL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01J6FPS42/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,3.8 out of 5 stars,447,$24.99
Amazon Launchpad,19.,Cozmo,https://www.amazon.com/Anki-000-00048-Cozmo/dp/B01GA1298S/ref=zg_bs_boost_19,https://images-na.ssl-images-amazon.com/images/I/41ZbCcoIa5L._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01GA1298S/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.4 out of 5 stars,708,$179.99
Amazon Launchpad,20.,Four Sigmatic Mushroom Coffee with Li...,https://www.amazon.com/Four-Sigmatic-Mushroom-Coffee-Lions/dp/B00ZWA7LQ4/ref=zg_bs_boost_20,https://images-na.ssl-images-amazon.com/images/I/51d%2BtvW4xuL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B00ZWA7LQ4/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,3.9 out of 5 stars,507,$15.16
Amazon Launchpad,21.,Watch Ya' Mouth Adult Phrase Card Gam...,https://www.amazon.com/Watch-Ya-Mouth-Phrase-Expansion/dp/B01IWL8T6A/ref=zg_bs_boost_21,https://images-na.ssl-images-amazon.com/images/I/51J%2Bm-1I-IL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01IWL8T6A/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,3.7 out of 5 stars,504,$12.99
Amazon Launchpad,22.,TubShroom the Revolutionary Tub Drain...,https://www.amazon.com/TubShroom-Revolutionary-Protector-Catcher-Strainer/dp/B01C7H9MTS/ref=zg_bs_boost_22,https://images-na.ssl-images-amazon.com/images/I/51Jk43PHIeL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01C7H9MTS/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.3 out of 5 stars,4484,$12.99
Amazon Launchpad,23.,Anova Culinary PCB-120US-K1 Bluetooth...,https://www.amazon.com/Anova-Culinary-PCB-120US-K1-Bluetooth-Precision/dp/B00UKPBXM4/ref=zg_bs_boost_23,https://images-na.ssl-images-amazon.com/images/I/31qzlpLHQcL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B00UKPBXM4/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.5 out of 5 stars,1404,$147.00
Amazon Launchpad,24.,TubShroom The Revolutionary Tub Drain...,https://www.amazon.com/TubShroom-Revolutionary-Drain-Protector-Orange/dp/B01C0EFTCM/ref=zg_bs_boost_24,https://images-na.ssl-images-amazon.com/images/I/51n9fJm-80L._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01C0EFTCM/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.3 out of 5 stars,4484,$12.99
Amazon Launchpad,25.,SmartyPants PreNatal Complete Gummy V...,https://www.amazon.com/SmartyPants-PreNatal-Complete-Gummy-Vitamins/dp/B00VFYYAC4/ref=zg_bs_boost_25,https://images-na.ssl-images-amazon.com/images/I/41iPVAgNx8L._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B00VFYYAC4/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.0 out of 5 stars,473,$21.95
Amazon Launchpad,26.,Withings Body Cardio - Heart Health a...,https://www.amazon.com/Withings-Body-Cardio-Health-Composition/dp/B01HLX3PDC/ref=zg_bs_boost_26,https://images-na.ssl-images-amazon.com/images/I/410lTAx%2BRGL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01HLX3PDC/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,3.9 out of 5 stars,231,$107.97
Amazon Launchpad,27.,Withings Body - Body Composition Wi-F...,https://www.amazon.com/Withings-Body-Composition-Wi-Fi-Scale/dp/B01F3LJ2RW/ref=zg_bs_boost_27,https://images-na.ssl-images-amazon.com/images/I/31N-eJ-TScL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01F3LJ2RW/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.1 out of 5 stars,208,$76.99
